file_name,package,minor,major,total,ownership,num_of_bugs
CompoundFormat.java,org.apache.lucene.codecs,0,1,2,0.8333333333333334,0
OfflineSorter.java,org.apache.lucene.util,0,3,4,0.5714285714285714,0
LockVerifyServer.java,org.apache.lucene.store,0,0,1,1.0,0
LeafReader.java,org.apache.lucene.index,0,2,3,0.5,5
NumericDocValuesField.java,org.apache.lucene.document,0,0,1,1.0,0
BufferedChecksumIndexInput.java,org.apache.lucene.store,0,1,2,0.6666666666666666,0
BitUtil.java,org.apache.lucene.util,0,1,2,0.6666666666666666,0
TopTermsRewrite.java,org.apache.lucene.search,0,1,2,0.5,0
MultiDocsAndPositionsEnum.java,org.apache.lucene.index,0,0,1,1.0,0
SpanNearQuery.java,org.apache.lucene.search.spans,0,2,3,0.5,2
FilterSpans.java,org.apache.lucene.search.spans,0,0,1,1.0,8
DocsEnum.java,org.apache.lucene.index,0,0,1,1.0,1
RegexpQuery.java,org.apache.lucene.search,0,0,1,1.0,0
StrictStringTokenizer.java,org.apache.lucene.util,0,0,1,1.0,0
IntsRefFSTEnum.java,org.apache.lucene.util.fst,0,0,1,1.0,0
CharSequenceOutputs.java,org.apache.lucene.util.fst,0,0,1,1.0,0
TermQuery.java,org.apache.lucene.search,0,1,2,0.5,10
NIOFSDirectory.java,org.apache.lucene.store,0,1,2,0.6666666666666666,2
FieldValueFilter.java,org.apache.lucene.search,0,2,3,0.5,0
AutomatonProvider.java,org.apache.lucene.util.automaton,0,0,1,1.0,0
PriorityQueue.java,org.apache.lucene.util,0,1,2,0.75,0
FuzzyQuery.java,org.apache.lucene.search,0,1,2,0.6666666666666666,0
Lucene50NormsProducer.java,org.apache.lucene.codecs.lucene50,0,2,3,0.7142857142857143,0
Direct64.java,org.apache.lucene.util.packed,0,0,1,1.0,0
FakeScorer.java,org.apache.lucene.search,0,1,2,0.6666666666666666,0
MatchAllDocsQuery.java,org.apache.lucene.search,0,2,3,0.3333333333333333,3
SpanPositionCheckQuery.java,org.apache.lucene.search.spans,0,1,2,0.5,10
MultiCollector.java,org.apache.lucene.search,0,1,2,0.6666666666666666,1
RamUsageEstimator.java,org.apache.lucene.util,0,1,2,0.625,1
SimpleFSDirectory.java,org.apache.lucene.store,0,1,2,0.6,2
PackedLongValues.java,org.apache.lucene.util.packed,0,1,2,0.6666666666666666,0
